Timestamp	workload	stress	Marker
3.4901e+03	2.0410e+00	1.1531e+00	0.0000e+00	0.0000e+00
3.4902e+03	2.0434e+00	1.1535e+00	0.0000e+00	0.0000e+00
3.4903e+03	2.0456e+00	1.1539e+00	0.0000e+00	0.0000e+00
3.4904e+03	2.0477e+00	1.1543e+00	0.0000e+00	0.0000e+00
3.4905e+03	2.0499e+00	1.1546e+00	0.0000e+00	0.0000e+00
3.4906e+03	2.0508e+00	1.1545e+00	0.0000e+00	0.0000e+00
3.4907e+03	2.0523e+00	1.1550e+00	0.0000e+00	0.0000e+00
3.4908e+03	2.0541e+00	1.1556e+00	0.0000e+00	0.0000e+00
3.4909e+03	2.0560e+00	1.1564e+00	0.0000e+00	0.0000e+00
3.4910e+03	2.0574e+00	1.1571e+00	0.0000e+00	0.0000e+00
3.4911e+03	2.0587e+00	1.1578e+00	0.0000e+00	0.0000e+00
3.4912e+03	2.0607e+00	1.1587e+00	0.0000e+00	0.0000e+00
3.4913e+03	2.0632e+00	1.1596e+00	0.0000e+00	0.0000e+00
3.4914e+03	2.0651e+00	1.1605e+00	0.0000e+00	0.0000e+00
3.4915e+03	2.0669e+00	1.1616e+00	0.0000e+00	0.0000e+00
3.4916e+03	2.0684e+00	1.1628e+00	0.0000e+00	0.0000e+00
3.4917e+03	2.0693e+00	1.1640e+00	0.0000e+00	0.0000e+00
3.4918e+03	2.0699e+00	1.1649e+00	0.0000e+00	0.0000e+00
3.4919e+03	2.0693e+00	1.1653e+00	0.0000e+00	0.0000e+00
3.4920e+03	2.0694e+00	1.1659e+00	0.0000e+00	0.0000e+00
3.4921e+03	2.0689e+00	1.1666e+00	0.0000e+00	0.0000e+00
3.4922e+03	2.0688e+00	1.1674e+00	0.0000e+00	0.0000e+00
3.4923e+03	2.0683e+00	1.1682e+00	0.0000e+00	0.0000e+00
3.4924e+03	2.0678e+00	1.1690e+00	0.0000e+00	0.0000e+00
3.4925e+03	2.0670e+00	1.1697e+00	0.0000e+00	0.0000e+00
3.4926e+03	2.0661e+00	1.1704e+00	0.0000e+00	0.0000e+00
3.4927e+03	2.0647e+00	1.1710e+00	0.0000e+00	0.0000e+00
3.4928e+03	2.0645e+00	1.1712e+00	0.0000e+00	0.0000e+00
