Timestamp	workload	arousal	Marker
607659.825	1.658	2.019	0.000
607660.045	1.649	2.015	0.000
607660.282	1.638	2.012	0.000
607660.502	1.624	2.009	0.000
607660.723	1.612	2.005	0.000
607660.947	1.605	2.002	0.000
607661.164	1.597	1.999	0.000
607661.404	1.589	1.996	0.000
607661.413	1.574	1.993	0.000
607661.620	1.567	1.990	0.000
607661.841	1.559	1.987	0.000
607662.064	1.564	1.984	0.000
607662.297	1.570	1.981	0.000
607662.500	1.570	1.978	0.000
607662.735	1.573	1.975	0.000
607662.955	1.576	1.972	0.000
607663.191	1.584	1.969	0.000
607663.365	1.590	1.966	0.000
607663.370	1.598	1.963	0.000
607663.601	1.609	1.960	0.000
607663.824	1.621	1.957	0.000
607664.058	1.634	1.954	0.000
607664.277	1.646	1.951	0.000
607664.512	1.645	1.949	0.000
607664.716	1.657	1.946	0.000
607664.953	1.665	1.943	0.000
607665.189	1.676	1.940	0.000
607665.398	1.688	1.937	0.000
607665.408	1.697	1.935	0.000
607665.614	1.702	1.932	0.000
607665.833	1.705	1.929	0.000
607666.056	1.713	1.927	0.000
607666.291	1.722	1.924	0.000
607666.510	1.722	1.921	0.000
607666.732	1.722	1.919	0.000
607666.972	1.729	1.916	0.000
607667.193	1.737	1.913	0.000
607667.200	1.746	1.911	0.000
607667.413	1.757	1.908	0.000
607667.634	1.767	1.906	0.000
607667.852	1.775	1.903	0.000
607668.072	1.785	1.901	0.000
607668.291	1.795	1.898	0.000
607668.525	1.803	1.896	0.000
607668.743	1.813	1.893	0.000
607668.977	1.820	1.891	0.000
607668.982	1.827	1.888	0.000
607669.197	1.830	1.886	0.000
607669.439	1.831	1.884	0.000
607669.653	1.836	1.881	0.000
607669.879	1.840	1.879	0.000
607670.105	1.842	1.877	0.000
607670.308	1.845	1.874	0.000
607670.560	1.848	1.872	0.000
607670.764	1.844	1.870	0.000
607670.987	1.851	1.868	0.000
607670.993	1.860	1.868	0.000
607671.207	1.871	1.865	0.000
607671.440	1.881	1.863	0.000
607671.682	1.894	1.861	0.000
607671.884	1.905	1.859	0.000
607672.118	1.916	1.857	0.000
607672.337	1.930	1.854	0.000
607672.575	1.935	1.852	0.000
607672.780	1.941	1.850	0.000
607672.786	1.946	1.850	0.000
607672.998	1.951	1.848	0.000
607673.234	1.956	1.846	0.000
607673.463	1.960	1.844	0.000
607673.687	1.965	1.842	0.000
607673.896	1.970	1.840	0.000
607674.127	1.977	1.837	0.000
607674.347	1.984	1.835	0.000
607674.584	1.991	1.833	0.000
607674.588	1.998	1.833	0.000
607674.835	2.009	1.831	0.000
607675.057	2.021	1.829	0.000
607675.272	2.033	1.827	0.000
607675.526	2.046	1.825	0.000
607675.729	2.059	1.823	0.000
607675.948	2.078	1.821	0.000
607676.188	2.094	1.819	0.000
607676.196	2.112	1.817	0.000
607676.405	2.130	1.815	0.000
607676.623	2.146	1.813	0.000
607676.855	2.159	1.811	0.000
607677.064	2.173	1.809	0.000
607677.294	2.186	1.807	0.000
607677.514	2.201	1.804	0.000
607677.735	2.201	1.802	0.000
607677.957	2.201	1.800	0.000
607678.205	2.201	1.798	0.000
607678.213	2.201	1.798	0.000
607678.436	2.201	1.796	0.000
607678.632	2.201	1.794	0.000
607678.867	2.201	1.792	0.000
607679.089	2.201	1.790	0.000
607679.307	2.201	1.788	0.000
607679.542	2.201	1.786	0.000
607679.760	2.201	1.784	0.000
607679.982	2.201	1.781	0.000
607679.987	2.201	1.781	0.000
607680.210	2.201	1.779	0.000
607680.458	2.201	1.777	0.000
607680.699	2.201	1.775	0.000
607680.933	2.205	1.773	0.000
607681.128	2.208	1.771	0.000
607681.364	2.212	1.769	0.000
607681.584	2.215	1.767	0.000
607681.589	2.218	1.764	0.000
607681.803	2.220	1.762	0.000
607682.074	2.220	1.760	0.000
607682.245	2.220	1.758	0.000
607682.482	2.220	1.756	0.000
607682.703	2.220	1.754	0.000
607682.928	2.219	1.752	0.000
607683.165	2.217	1.749	0.000
607683.379	2.214	1.747	0.000
607683.384	2.211	1.747	0.000
607683.611	2.209	1.745	0.000
607683.834	2.207	1.743	0.000
607684.057	2.203	1.741	0.000
607684.275	2.210	1.739	0.000
607684.493	2.220	1.737	0.000
607684.713	2.229	1.735	0.000
607684.938	2.239	1.733	0.000
607685.180	2.248	1.730	0.000
607685.392	2.257	1.728	0.000
607685.400	2.268	1.728	0.000
607685.610	2.278	1.726	0.000
607685.838	2.290	1.724	0.000
607686.070	2.304	1.722	0.000
607686.288	2.319	1.720	0.000
607686.508	2.330	1.718	0.000
607686.744	2.345	1.716	0.000
607686.979	2.355	1.714	0.000
607686.985	2.369	1.714	0.000
607687.217	2.382	1.712	0.000
607687.452	2.396	1.710	0.000
607687.679	2.392	1.708	0.000
607687.879	2.390	1.706	0.000
607688.111	2.388	1.704	0.000
607688.332	2.386	1.702	0.000
607688.553	2.384	1.700	0.000
607688.788	2.381	1.698	0.000
607688.793	2.379	1.698	0.000
607689.005	2.377	1.696	0.000
607689.243	2.374	1.694	0.000
607689.459	2.370	1.692	0.000
607689.687	2.365	1.690	0.000
607689.907	2.365	1.688	0.000
607690.124	2.361	1.687	0.000
607690.345	2.356	1.685	0.000
607690.580	2.350	1.683	0.000
607690.591	2.344	1.681	0.000
607690.804	2.340	1.679	0.000
607691.023	2.335	1.677	0.000
607691.244	2.328	1.675	0.000
607691.482	2.321	1.673	0.000
607691.723	2.315	1.671	0.000
607691.967	2.309	1.670	0.000
607692.175	2.303	1.668	0.000
607692.184	2.298	1.668	0.000
607692.409	2.291	1.666	0.000
607692.614	2.284	1.664	0.000
607692.854	2.280	1.662	0.000
607693.089	2.276	1.660	0.000
607693.291	2.272	1.658	0.000
607693.526	2.267	1.657	0.000
607693.746	2.261	1.655	0.000
607693.970	2.256	1.653	0.000
607694.209	2.248	1.651	0.000
607694.218	2.239	1.651	0.000
607694.423	2.239	1.649	0.000
607694.627	2.227	1.648	0.000
607694.866	2.215	1.646	0.000
607695.083	2.201	1.644	0.000
607695.319	2.185	1.642	0.000
607695.538	2.171	1.641	0.000
607695.759	2.158	1.639	0.000
607696.008	2.145	1.637	0.000
607696.013	2.132	1.637	0.000
607696.217	2.120	1.636	0.000
607696.435	2.111	1.634	0.000
607696.655	2.103	1.632	0.000
607696.881	2.094	1.631	0.000
607697.096	2.085	1.629	0.000
607697.320	2.078	1.628	0.000
607697.556	2.070	1.626	0.000
607697.773	2.064	1.625	0.000
607697.779	2.058	1.623	0.000
607698.001	2.052	1.622	0.000
607698.239	2.048	1.620	0.000
607698.474	2.045	1.619	0.000
607698.680	2.042	1.617	0.000
607698.901	2.038	1.616	0.000
607699.120	2.033	1.615	0.000
607699.356	2.029	1.613	0.000
607699.575	2.027	1.612	0.000
607699.780	2.022	1.611	0.000
607699.787	2.016	1.611	0.000
607700.018	2.011	1.609	0.000
607700.249	2.006	1.608	0.000
607700.478	1.996	1.607	0.000
607700.692	1.992	1.606	0.000
607700.912	1.981	1.604	0.000
607701.131	1.969	1.603	0.000
607701.368	1.956	1.602	0.000
607701.591	1.943	1.601	0.000
607701.599	1.928	1.601	0.000
607701.807	1.912	1.600	0.000
607702.029	1.895	1.599	0.000
607702.261	1.886	1.598	0.000
607702.496	1.886	1.597	0.000
607702.725	1.886	1.596	0.000
607702.921	1.886	1.595	0.000
607703.156	1.886	1.594	0.000
607703.376	1.886	1.593	0.000
607703.385	1.886	1.592	0.000
607703.596	1.886	1.591	0.000
607703.831	1.886	1.590	0.000
607704.050	1.886	1.590	0.000
607704.276	1.886	1.589	0.000
607704.496	1.886	1.588	0.000
607704.713	1.886	1.588	0.000
607704.946	1.886	1.587	0.000
607705.166	1.886	1.586	0.000
607705.414	1.886	1.586	0.000
607705.420	1.884	1.586	0.000
607705.622	1.884	1.585	0.000
607705.841	1.880	1.585	0.000
607706.059	1.875	1.584	0.000
