Timestamp	GSR	PPG	Marker	MarkerTimestamp
2337288.815	1.914	953.846	0.000	0.000
2337288.830	1.905	1137.729	0.000	0.000
2337288.846	1.900	1465.201	0.000	0.000
2337288.862	1.909	1917.216	0.000	0.000
2337288.877	1.917	2410.256	0.000	0.000
2337288.893	1.911	2800.733	0.000	0.000
2337288.897	1.903	2800.000	0.000	0.000
2337288.913	1.906	2800.733	0.000	0.000
2337288.929	1.914	2800.000	0.000	0.000
2337288.944	1.917	2800.733	0.000	0.000
2337288.960	1.906	2799.267	0.000	0.000
2337288.975	1.902	2777.289	0.000	0.000
2337288.991	1.909	2561.172	0.000	0.000
2337289.007	1.917	2291.575	0.000	0.000
2337289.026	1.912	2036.630	0.000	0.000
2337289.042	1.905	1814.652	0.000	0.000
2337289.057	1.905	1632.234	0.000	0.000
2337289.073	1.914	1477.656	0.000	0.000
2337289.089	1.917	1358.242	0.000	0.000
2337289.104	1.911	1283.516	0.000	0.000
2337289.120	1.903	1247.619	0.000	0.000
2337289.136	1.911	1243.956	0.000	0.000
2337289.155	1.917	1255.678	0.000	0.000
2337289.170	1.917	1282.051	0.000	0.000
2337289.186	1.908	1301.099	0.000	0.000
2337289.202	1.906	1309.157	0.000	0.000
2337289.217	1.915	1290.843	0.000	0.000
2337289.233	1.923	1238.828	0.000	0.000
2337289.248	1.914	1165.568	0.000	0.000
2337289.264	1.909	1085.714	0.000	0.000
2337289.284	1.912	1013.187	0.000	0.000
2337289.299	1.921	957.509	0.000	0.000
2337289.315	1.921	922.344	0.000	0.000
2337289.330	1.915	893.040	0.000	0.000
2337289.346	1.911	880.586	0.000	0.000
2337289.362	1.920	885.714	0.000	0.000
2337289.377	1.926	893.040	0.000	0.000
2337289.393	1.921	902.564	0.000	0.000
2337289.416	1.915	915.751	0.000	0.000
2337289.432	1.918	923.077	0.000	0.000
2337289.447	1.926	926.007	0.000	0.000
2337289.463	1.930	928.938	0.000	0.000
2337289.479	1.923	926.007	0.000	0.000
2337289.494	1.918	923.077	0.000	0.000
2337289.510	1.926	928.938	0.000	0.000
2337289.525	1.935	930.403	0.000	0.000
2337289.531	1.929	920.879	0.000	0.000
2337289.547	1.924	904.029	0.000	0.000
2337289.562	1.924	887.912	0.000	0.000
2337289.578	1.933	880.586	0.000	0.000
2337289.594	1.938	880.586	0.000	0.000
2337289.609	1.932	883.516	0.000	0.000
2337289.625	1.926	881.319	0.000	0.000
2337289.640	1.933	871.795	0.000	0.000
2337289.655	1.941	860.806	0.000	0.000
2337289.670	1.939	855.678	0.000	0.000
2337289.686	1.932	863.736	0.000	0.000
2337289.702	1.932	917.949	0.000	0.000
2337289.717	1.941	1076.923	0.000	0.000
2337289.733	1.948	1373.626	0.000	0.000
2337289.749	1.942	1811.722	0.000	0.000
2337289.764	1.936	2334.799	0.000	0.000
2337289.776	1.939	2799.267	0.000	0.000
2337289.792	1.948	2800.733	0.000	0.000
2337289.807	1.950	2799.267	0.000	0.000
2337289.823	1.942	2800.733	0.000	0.000
2337289.838	1.938	2799.267	0.000	0.000
2337289.854	1.948	2800.000	0.000	0.000
2337289.870	1.956	2799.267	0.000	0.000
2337289.885	1.951	2800.000	0.000	0.000
2337289.896	1.944	2800.733	0.000	0.000
2337289.912	1.947	2761.905	0.000	0.000
2337289.927	1.956	2572.894	0.000	0.000
2337289.943	1.959	2331.868	0.000	0.000
2337289.958	1.951	2076.923	0.000	0.000
2337289.974	1.947	1827.839	0.000	0.000
2337289.990	1.954	1608.791	0.000	0.000
2337290.005	1.963	1441.026	0.000	0.000
2337290.055	1.959	1338.462	0.000	0.000
2337290.070	1.953	1301.832	0.000	0.000
2337290.086	1.953	1299.634	0.000	0.000
2337290.102	1.963	1316.484	0.000	0.000
2337290.117	1.966	1324.542	0.000	0.000
2337290.133	1.960	1311.355	0.000	0.000
2337290.149	1.954	1278.388	0.000	0.000
2337290.164	1.962	1228.571	0.000	0.000
2337290.149	1.968	1164.103	0.000	0.000
2337290.164	1.968	1095.971	0.000	0.000
2337290.180	1.962	1035.897	0.000	0.000
2337290.195	1.959	982.418	0.000	0.000
2337290.211	1.968	942.125	0.000	0.000
2337290.227	1.974	915.751	0.000	0.000
2337290.242	1.966	901.099	0.000	0.000
2337290.258	1.962	897.436	0.000	0.000
2337290.273	1.968	905.495	0.000	0.000
2337290.289	1.975	922.344	0.000	0.000
2337290.305	1.974	931.868	0.000	0.000
2337290.320	1.968	937.729	0.000	0.000
2337290.336	1.963	947.985	0.000	0.000
2337290.352	1.974	964.103	0.000	0.000
2337290.367	1.980	977.289	0.000	0.000
2337290.383	1.975	980.220	0.000	0.000
2337290.401	1.968	975.824	0.000	0.000
2337290.417	1.972	960.440	0.000	0.000
2337290.432	1.980	946.520	0.000	0.000
2337290.448	1.984	936.996	0.000	0.000
2337290.464	1.975	928.938	0.000	0.000
2337290.479	1.971	921.612	0.000	0.000
2337290.495	1.980	919.414	0.000	0.000
2337290.510	1.987	917.949	0.000	0.000
2337290.522	1.981	912.088	0.000	0.000
2337290.538	1.975	903.297	0.000	0.000
2337290.554	1.977	887.180	0.000	0.000
2337290.569	1.987	869.597	0.000	0.000
2337290.585	1.990	871.062	0.000	0.000
2337290.600	1.983	908.425	0.000	0.000
2337290.616	1.977	1023.443	0.000	0.000
2337290.632	1.986	1280.586	0.000	0.000
2337290.645	1.992	1706.960	0.000	0.000
2337290.660	1.990	2259.341	0.000	0.000
2337290.676	1.984	2800.000	0.000	0.000
2337290.692	1.984	2800.000	0.000	0.000
2337290.707	1.993	2800.733	0.000	0.000
